abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
mn2	Mn2+	Mn	2	Extra-organism, Cytosol, Periplasm	C00034	None	33594	5,7,9	
uacgam	UDP-N-acetyl-D-glucosamine	C17H25N3O17P2	-2	Extra-organism, Golgi Apparatus, Cytosol, Periplasm	C00043		33638	1,10,2,3,4,5,7,9	
2maacoa	2-Methyl-3-acetoacetyl-CoA	C26H38N7O18P3S	-4	Cytosol, Mitochondria	C03344		41671	2,4	
f6p	D-Fructose 6-phosphate	C6H11O9P	-2	Extra-organism, Cytosol, Periplasm	C00085	643-13-0	33795	1,10,2,3,4,5,6,7,8,9	
q8	Ubiquinone-8	C49H74O4	0	Cytosol	C00399	1339-63-5	1438260	1,10,4,5,7,8	
acnam	N-Acetylneuraminate	C11H18NO9	-1	Extra-organism, Cytosol, Nucleus, Periplasm, Lysosome	C00270	131-48-6	34458	1,2,5,7	
dxyl	1-deoxy-D-xylulose	C5H10O4	0	Cytosol	C06257		1438793	1,10,3,5	
4per	4-Phospho-D-erythronate	C4H6O8P	-3	Cytosol	C03393		41765	1,10,4,5	
4abutn	4-Aminobutanal	C4H10NO	1	Cytosol, Mitochondria	C00555		35337	1,2,5,6	
cyst-L	L-Cystathionine	C7H14N2O4S	0	Peroxisome, Cytosol	C02291	56-88-2	39523	1,10,2,3,4,5,6,7	
odecoa	Octadecenoyl-CoA (n-C18:1CoA)	C39H64N7O17P3S	-4	Peroxisome, Cytosol, Mitochondria	C00510		1451388	10,2,5,6	
rbrdxOX	Oxidized rubredoxin	UK	0	Cytosol	C00435		34978	4	
2pglyc	2-Phosphoglycolate	C2H2O6P	-3	Cytosol	C00988		36550	1,10,2,5,7,9	
adocbip	Adenosyl cobinamide phosphate	C58H83CoN16O14P	-1	Cytosol	C06509		48461	1,10,4,5,9	
fuc1p-L	L-Fucose 1-phosphate	C6H11O8P	-2	Extra-organism, Cytosol	C02985		40955	1,2	
2dmmq6	2-Demethylmenaquinone 6	C40H54O2	0	Cytosol			1553041	10,3	
methf	5,10-Methenyltetrahydrofolate	C20H20N7O6	-1	Cytosol, Mitochondria	C00445		34999	1,10,2,3,4,5,6,7,9	
frmd	Formamide	CH3NO	0	Cytosol	C00488	75-12-7	35122	3,7	
u3hga_HP	UDP-3-O(3-hydroxypalmetoyl)-D-glucosamine	C31H54N3O18P2	-1	Cytosol			1440365	3	
odecrn	octadecenoyl carnitine	C25H47NO4	0	Cytosol, Mitochondria			1585902	2	
dgmp	dGMP	C10H12N5O7P	-2	Extra-organism, Cytosol, Periplasm, Mitochondria, Lysosome	C00362	902-04-5	34744	1,10,2,3,4,5,6,7	
6ax	6-Aminohexanoate	C6H13NO2	0	Cytosol	C02378	60-32-2	1800360	9	
dolichol_L	Dolichol, human liver homolog	C1080H1768O10	0	Cytosol, Endoplasmic Reticulum			1809211	2	
naglc2p_L	N-Acetyl-D-glucosaminyldiphosphodolichol, human liver homolog	C1160H1898N10O120P20	-20	Cytosol			1809448	2	
ad	acetamide	C2H5NO	0	Extra-organism, Cytosol			1831451	10,3	
pre2	dihydrosirohydrochlorin	C42H40N4O16	-8	Cytosol	C02463		1839963	10	
ca2	Calcium	Ca	2	Extra-organism, Cytosol, Periplasm	C00076	7440-70-2	33764	10,2,5,9	
gudac	Guanidinoacetate	C3H7N3O2	0	Cytosol		352-97-6	1594816	2	
dmpp	Dimethylallyl diphosphate	C5H9O7P2	-3	Peroxisome, Cytosol	C00235	358-71-4	131960	1,10,2,3,4,5,6,7,9	
3hmp	3-Hydroxy-2-methylpropanoate	C4H7O3	-1	Cytosol, Mitochondria	C01188		37034	2,4	
acn23acngalgbside_hs	sialyl (2,3) sialyl (2,6) galactosylgloboside (homo sapiens)	C72H121N4O43FULLRCO	-2	Extra-organism, Golgi Apparatus, Cytosol			2266497	2	
gp1c_hs	GP1c (homo sapiens)	C99H159N7O62FULLRCO	-5	Extra-organism, Golgi Apparatus, Cytosol			2266630	2	
ecgon	ecgonine	C9H14NO3	-1	Endoplasmic Reticulum		481-37-8	2273742	2	
ksii_core2_pre10	keratan sulfate II biosynthesis, precursor 10	C81H130N6O64S2X	-3	Golgi Apparatus			2296701	2	
ksi_pre6	keratan sulfate I biosynthesis, precursor 6	C107H174N7O80SX	-2	Golgi Apparatus			2296818	2	
ksi_pre19	keratan sulfate I biosynthesis, precursor 19	C171H275N12O137S5X	-6	Golgi Apparatus			2296834	2	
rbl-D	D-Ribulose	C5H10O5	0	Cytosol	C00309	488-84-6	34569	10,2	
cs_d_pre3	chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 3	C37H53NO40S3X	-5	Golgi Apparatus			2300744	2	
18harachd	18 hydroxy arachidonic acid	C20H31O3	-1	Endoplasmic Reticulum			2300206	2	
eaflatoxin	8,9 epxoy aflatoxin B1	C17H12O7	0	Extra-organism, Cytosol			2300011	2	
5thf	pentaglutamyl folate (THF)	C39H45N11O18	-6	Extra-organism, Cytosol, Mitochondria, Lysosome			2304175	2	
6dhf	haxglutamyl folate (DHF)	C44H49N12O21	-7	Extra-organism, Cytosol, Mitochondria, Lysosome			2304240	2	
pchol_hs	Phosphatidylcholine (homo sapiens)	C8H18NO4PFULLRCO2FULLR2CO2	0	Extra-organism, Golgi Apparatus, Cytosol, Endoplasmic Reticulum, Mitochondria			2228933	2	
tag_hs	triacylglycerol (homo sapiens)	C3H5FULLRCO2FULLR2CO2FULLR3CO2	0	Extra-organism, Cytosol			2220582	2	
lnlcACP	linoleic acid ACP (all cis)	C29H51N2O8PRS	-1	Cytosol			2377664	2	
dhcholoylcoa	3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA	C48H74N7O19P3S	-4	Peroxisome, Endoplasmic Reticulum	C05447	67-97-0	45830	2	
1glyc_hs	1 acyl phosphoglycerol	C6H13O7PFULLRCO2	-1	Extra-organism			2389141	2	
Rtotalcoa	R total Coenzyme A	CO2FULLRC21H31N7O15P3S	-4	Peroxisome, Cytosol, Mitochondria			2386329	2	
cs_e_deg4	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 4	C31H46NO38S4	-5	Lysosome			2416318	2	
ksi_deg39	keratan sulfate I, degradation product 39	C48H81N3O36	0	Lysosome			2416955	2	
murein3px4p	two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)	C71H107N13O38	-4	Periplasm			2528326	5	
cdpdtdecg	CDP-1,2-ditetradecanoylglycerol	C40H71N3O15P2	-2	Cytosol	C00269		2617598	5	
npthl	Naphthalene	C10H8	0	Extra-organism, Cytosol	C00829	91-20-3	36137	2	
clpn180	cardiolipin (tetraoctadecanoyl, n-C18:0)	C81H156O17P2	-2	Periplasm	C05980		2617925	4,5	
2agpe181	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	C23H46NO7P1	0	Cytosol, Periplasm	C05973		2706672	5	
msh	mycothiol (reduced)	C17H30N2O12S	0	Cytosol	C06717	486-25-9	48929	10	
andrstandn	androstanedione	C19H28O2	0	Endoplasmic Reticulum	C03772	1229-12-5	42505	2	
phdca	phenol palmitic acid	C23H37O3	-1	Extra-organism, Cytosol			2999234	10	
5aptn	5-Aminopentanoate	C5H11NO2	0	Cytosol	C00431	660-88-8	34967	4	
R-3hocoa	(R)-Hydroxyoctanoyl-CoA	C29H46N7O18P3S	-4	Cytosol			3436785	4	
met-L	L-Methionine	C5H11NO2S	0	Extra-organism, Cytosol, Periplasm, Mitochondria	C00073	63-68-3	33753	1,10,2,3,4,5,6,7,9	
56dthm	5,6-Dihydrothymine	C5H8N2O2	0	Cytosol	C00906	696-04-8	36347	2,9	
lgt-S	(R)-S-Lactoylglutathione	C13H20N3O8S	-1	Cytosol, Mitochondria	C03451	59-85-8	41876	1,2,5,6	
fa6	Fatty acid (iso-C16:0)	C16H31O2	-1	Cytosol			246166	7	
s17bp	Sedoheptulose 1,7-bisphosphate	C7H12O13P2	-4	Cytosol	C00447		35003	6	
lipidX	2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate	C34H64NO12P	-2	Cytosol	C04824	None	44628	1,5	
dhpmp	Dihydroneopterin monophosphate	C9H12N5O7P	-2	Cytosol	C05925		1447045	1,10,3,4,5,6,7,9	
pydx	Pyridoxal	C8H9NO3	0	Extra-organism, Cytosol	C00250	66-72-8	34393	1,10,2,4,5,6	
cer2_26	Ceramide-2 (Phytosphingosine:n-C26:0)	C44H89NO4	0	Cytosol			1454018	6	
ipc226_SC	Inositol phosphorylceramide, ceramide-2 (26C), yeast-specific	C5000H9900N100O1200P100	-100	Cytosol			1454229	6	
gdpmann	GDP-D-mannose	C16H23N5O16P2	-2	Golgi Apparatus, Cytosol	C00096		1460457	1,10,2,3,5,6,9	
35cimp	3',5'-Cyclic IMP	C10H10N4O7P	-1	Cytosol	C00943		1485271	6	
hqn	Hydroquinone	C6H6O2	0	Cytosol	C00530	123-31-9	35259	1,5	
NPmehis	N(pai)-Methyl-L-histidine	C7H11N3O2	0	Cytosol	C01152		1485288	6	
hxdcal	Hexadecanal	C16H32O	0	Cytosol, Endoplasmic Reticulum	C00517	629-80-1	35223	2,6	
psph1p	Phytosphingosine 1-phosphate	C18H39NO6P	-1	Cytosol			1485916	6	
u3aga_HP	UDP-3-O-(3-hydroxypalmetoyl)-N-acetylglucosamine	C33H55N3O19P2	-2	Cytosol			1440501	3	
arachd	arachidonic acid	C20H31O2	-1	Extra-organism, Cytosol, Endoplasmic Reticulum	C00219	506-32-1	1586189	2	
bhb	(R)-3-Hydroxybutanoate	C4H7O3	-1	Extra-organism, Cytosol, Mitochondria	C01089		36784	10,2,4	
adphep7p-LD	ADP-L-glycero-D-manno-heptose-7-phosphate	C17H24N5O19P3	-4	Cytosol			1754472	3	
dolp_L	Dolichol phosphate, human liver homolog	C1080H1758O40P10	-20	Cytosol, Endoplasmic Reticulum			1809214	2	
copre3	cobalt-precorrin 3	C43H40N4O16Co	-8	Cytosol	C11539		1838288	10,9	
12dgr_SA	1,2-Daicylglycerol (Saureus)	C1560H3065O42	0	Cytosol			1840445	7	
3hdggpgp	2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glycerol-1-phospho-3'-sn-glycerol phosphate	C46H79O12P2	-3	Cytosol			1842475	9	
xylu-L	L-Xylulose	C5H10O5	0	Extra-organism, Cytosol, Periplasm	C00312	527-50-4	34584	2,5	
zymstnl	Zymostenol	C27H46O	0	Endoplasmic Reticulum	C03845	481-39-0	42633	2	
dhea	Dehydroepiandrosterone	C19H28O2	0	Cytosol, Endoplasmic Reticulum		53-43-0	37131	2	
11docrtstrn	11-Deoxycorticosterone	C21H30O3	0	Cytosol, Endoplasmic Reticulum, Mitochondria	C03205	64-85-7	41397	2	
cmpntm2amep	CMP-N-trimethyl-2-aminoethylphosphonate	C14H25N4O10P2	-1	Cytosol	C05674	151-18-8	46255	2	
prostgi2	Prostaglandin I2	C20H31O5	-1	Endoplasmic Reticulum	C01312	35121-78-9	37333	2	
crtsl	Cortisol	C21H30O5	0	Cytosol, Endoplasmic Reticulum, Mitochondria	C00735	50-23-7	35828	2	
cs_d_pre5	chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 5	C45H65N2O48S4X	-6	Golgi Apparatus			2300746	2	
hs_pre1	heparan sulfate, precursor 1	C31H49NO25X	-1	Golgi Apparatus			2301796	2	
retnglc	retinoyl glucuronide	C26H35O8	-1	Extra-organism, Cytosol, Endoplasmic Reticulum			2304843	2	
o2s	Superoxide anion	O2	-1	Peroxisome, Extra-organism, Cytosol, Nucleus, Periplasm, Mitochondria	C00704		35743	1,10,2,3,5,7,9	
