abbreviation	name	synonyms	equation	compartment	ecnumber	reversible	translocation	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
CSm	citrate synthase		[m] : accoa + h2o + oaa --> cit + coa + h	Mitochondria		Irreversible	N	214045	2,6	
GALTptspp	Galactitol transport via PEP:Pyr PTS (periplasm)		galt[p] + pep[c] --> galt1p[c] + pyr[c]	Cytosol, Periplasm		Irreversible	Y	1912275	5	
ETOHtex	ethanol transport via diffusion (extracellular to periplasm)		etoh[e] <==> etoh[p]	Extra-organism, Periplasm		Reversible	Y	1915212	5	
HDCAtr	fatty acid transport via diffusion		hdca[e] <==> hdca[c]	Extra-organism, Cytosol		Reversible	Y	2326476	2	
S6TASE26ly	N-acetylglucosamine-6-sulfatase, lysosomal	chondroitinsulfatase, acetylglucosamine 6-sulfatase, N-acetylglucosamine 6-sulfate sulfatase, 2-acetamido-2-deoxy-D-glucose 6-sulfate sulfatase, O,N-disulfate O-sulfohydrolase	[l] : h2o + ksii_core4_deg3 <==> h + ksii_core4_deg4 + so4	Lysosome	3.1.6.14	Reversible	N	2418150	2	
TAXOLte	xenobiotic transport		taxol[e] <==> taxol[c]	Extra-organism, Cytosol		Reversible	Y	2704633	2	
GLXCL	glyoxalate carboligase	tartronate semialdehyde carboxylase, hydroxymalonic semialdehyde carboxylase, glyoxylic carbo-ligase, glyoxylate carbo-ligase, tartronate-semialdehyde synthase, tartronic semialdehyde carboxylase	[c] : (2) glx + h --> 2h3oppan + co2	Cytosol	4.1.1.47	Irreversible	N	1472072	1,4,5	
3MOX4HOXPGALDOX(NADP)	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase		[c] : 3m4hpga + h2o + nadp <==> 3mox4hoxm + (2) h + nadph	Cytosol	1.2.1.5	Reversible	N	2171085	2	
CHAT	Choline O-acetyltransferase	Choline acetylase, ChAT, CHOACTase	[c] : accoa + chol <==> ach + coa	Cytosol		Reversible	N	2306663	2	
biomass_SA_7b	SA biomass 7 without ions		[c] : (0.01) 10fthf + (0.42) 12dgr_SA + (1.27) 26dap-LL + (0.01) SA_FREE_FA + (0.38) acgam + (1.22) acgam1p + (6.6) ala-L + (3.11) amp + (3.88) arg-L + (4.48) asn-L + (4.48) asp-L + (20000) atp + (2.51) clpn_SA + (2.2) cmp + (0.79) cys-L + (0.76) damp + (0.53) dcmp + (0.012068) dgdcg_SA2 + (0.6) dgmp + (0.73) dtmp + (0.01) fad + (0.23) gam1p + (5.3) glcp_SA + (8.72) gln-L + (9.68) glu-L + (3.51) gly + (4.01) gmp + (20000) h2o + (1.45) his-L + (4.06) ile-L + (5.21) leu-L + (5.45) lys-L + (1.94) met-L + (0.01) mlthf + (0.01) nad + (0.01) nadp + (0.01) pala_SA2 + (0.89) pe_SA + (2.31) pg_SA + (0.01) pgly_SA2 + (3.33) phe-L + (0.01) pleu_SA2 + (0.15) plys_SA2 + (2.12) pro-L + (0.01) ptrc + (2.6) ser-L + (0.01) spmd + (2.86) tcam + (0.01) thf + (2.54) thr-L + (1.27) trp-L + (2.3) tyr-L + (1.78) uamr + (2.39) ump + (4.12) val-L --> (20000) adp + (20000) h + (20000) pi	Cytosol		Irreversible	N	1841564	7	
MALTt1r	maltose transport (uniport)		malt[e] <==> malt[c]	Extra-organism, Cytosol		Reversible	Y	2307046	2	
SMPD4	sphingomyelinase		[c] : h2o + spc_hs --> cholp + h + sphings	Cytosol		Irreversible	N	2976593	2	
DALAtex	D-Alanine transport via diffusion (extracellular to periplasm)		ala-D[e] <==> ala-D[p]	Extra-organism, Periplasm		Reversible	Y	1915072	5	
ADEt	adenine reversible transport, cytosol		ade[e] <==> ade[c]	Extra-organism, Cytosol		Reversible	Y	2327441	2	
FE3HOXR3	Fe(III)hydroxamate reductase		[c] : (2) fe3hox + rbflvrd --> (2) fe2 + (2) fe3hox-un + (2) h + ribflv	Cytosol		Irreversible	N	2262505	5	
B3GALT44g	Beta-1,3-galactosyltransferase 4	Beta-1,3-GalTase 4, UDP-galactose:beta-N-acetyl-galactosamine-beta-1,3-galactosyltransferase, Beta3Gal-T4, GAL-T2, GalT4, b3Gal-T4, Ganglioside galactosyltransferase	[g] : gt2_hs + udpgal --> gt1c_hs + h + udp	Golgi Apparatus	2.4.1.62	Irreversible	N	2267755	2	
LCADim	lactaldehyde dehydrogenase, mitochondrial		[m] : h2o + lald-L + nad --> (2) h + lac-L + nadh	Mitochondria	1.2.1.21	Irreversible	N	2392100	2	
ALAALAr	D-alanine-D-alanine ligase (reversible)		[c] : (2) ala-D + atp <==> adp + alaala + h + pi	Cytosol	6.3.2.4	Reversible	N	1529099	1,10,3,4,5,7	
PAPSR2	phosphoadenylyl-sulfate reductase (glutaredoxin)		[c] : grxrd + paps --> grxox + (2) h + pap + so3	Cytosol	1.8.4.8	Irreversible	N	2388477	5	
NDPK1	nucleoside-diphosphate kinase (ATP:GDP)		[c] : atp + gdp <==> adp + gtp	Cytosol	2.7.4.6	Reversible	N	144708	1,10,2,3,4,5,6,7,9	
SERCYSNaEx	L-serine/L-cysteine Na-dependent exchange (Ser-L in)		cys-L[c] + na1[e] + ser-L[e] --> cys-L[e] + na1[c] + ser-L[c]	Extra-organism, Cytosol		Irreversible	Y	2305635	2	
G13MTg	Glycolipid 1,3-alpha-D-mannosyltransferase, Golgi apparatus		[g] : gdpmann + macchitppdol --> gdp + h + m1macchitppdol	Golgi Apparatus	2.4.1.132	Irreversible	N	1530292	6	
G2M8MASNterg	g2m8masn transport from endoplasmic reticulum to Golgi apparatus		g2m8masn[r] --> g2m8masn[g]	Golgi Apparatus, Endoplasmic Reticulum		Irreversible	Y	1838634	2	
RAtn	Retinoate transport, nuclear		retn[c] <==> retn[n]	Nucleus, Cytosol		Reversible	Y	2430107	2	
FAS120	fatty acid synthase (n-C12:0)		[c] : dca + (3) h + malcoa + (2) nadph --> co2 + coa + ddca + h2o + (2) nadp	Cytosol	2.3.1.85	Irreversible	N	1453521	10,6	
3GMPtex	3GMP transport via diffusion (extracellular to periplasm)		3gmp[e] <==> 3gmp[p]	Extra-organism, Periplasm		Reversible	Y	2326115	5	
CDGGGPP3	CDP-alcohol phosphatidyltransferase (glycerol 1-phosphate)		[c] : cdgggp + glyc1p --> cmp + dggpgp + h	Cytosol	2.7.8.5	Irreversible	N	1917452	9	
TIH2CD	threo-iso(homo)2citrate dehydrogenase	COBS9	[c] : nad + tih2cit --> co2 + nadh + ohepa	Cytosol		Irreversible	N	1897635	9	
BTNt3i	Biotin transport via sodium symport		atp[c] + btn[e] + h2o[c] + (2) na1[e] --> adp[c] + btn[c] + h[c] + (2) na1[c] + pi[c]	Extra-organism, Cytosol		Irreversible	Y	2225044	2	
GLCtex	glucose transport via diffusion (extracellular to periplasm)		glc-D[e] <==> glc-D[p]	Extra-organism, Periplasm		Reversible	Y	1915260	4,5	
MYC1M1	Mycolic Acid Methyl Hydroxyl Addition	mycolic acid hydroxyl and methyl addition	[c] : amet + h2o + mmeroacidACP --> ahcys + h + mmmeroacidACP	Cytosol		Irreversible	N	2241843	10	
CRNt2rpp	L-carnitine outward transport (H+ antiport)		crn[p] + h[p] <==> crn[c] + h[c]	Cytosol, Periplasm		Reversible	Y	2386156	5	
THRt2pp	L-threonine efflux transport via proton antiport (periplasm)		h[p] + thr-L[c] --> h[c] + thr-L[p]	Cytosol, Periplasm		Irreversible	Y	2388926	5	
AKGt2r	2-oxoglutarate reversible transport via symport		akg[e] + h[e] <==> akg[c] + h[c]	Extra-organism, Cytosol		Reversible	Y	1441942	1,3,6,8	
POR2	pyruvate synthase	pyruvate:ferredoxin oxidoreductase, pyruvate ferredoxin oxidoreductase	[c] : coa + (2) fdox + pyr <==> accoa + co2 + (2) fdred + h	Cytosol	1.2.7.1	Reversible	N	1800873	9	
AKGtex	alpha-ketoglutarate transport via diffusion (extracellular to periplasm)		akg[e] <==> akg[p]	Extra-organism, Periplasm		Reversible	Y	1915063	4,5	
C3STKR2r	C-3 sterol keto reductase (zymosterol)		[r] : h + nadph + zym_int2 --> nadp + zymst	Endoplasmic Reticulum		Irreversible	N	2207703	2	
S6TASE18ly	N-acetylglucosamine-6-sulfatase, lysosomal	chondroitinsulfatase, N-acetylglucosamine 6-sulfate sulfatase, acetylglucosamine 6-sulfatase, 2-acetamido-2-deoxy-D-glucose 6-sulfate sulfatase, O,N-disulfate O-sulfohydrolase	[l] : h2o + ksi_deg27 <==> h + ksi_deg28 + so4	Lysosome	3.1.6.14	Reversible	N	2417327	2	
Kt3g	potassium transport  via proton antiport		h[g] + k[c] <==> h[c] + k[g]	Golgi Apparatus, Cytosol		Reversible	Y	2329330	2	
G14T20g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	thyroid glycoprotein beta-galactosyltransferase, beta-N-acetyl-beta1-4-galactosyltransferase, glycoprotein 4-beta-galactosyl-transferase, UDP-galactose-glycoprotein galactosyltransferase, thyroid galactosyltransferase, uridine diphosphogalactose-glycoprotein galactosyltransferase, glycoprotein beta-galactosyltransferase	[g] : ksii_core4_pre6 + udpgal --> h + ksii_core4_pre7 + udp	Golgi Apparatus	2.4.1.38	Irreversible	N	2299311	2	
CYTK1n	cytidylate kinase (CMP),nuclear		[n] : atp + cmp <==> adp + cdp	Nucleus	2.7.4.14	Reversible	N	2218275	2	
LCYSTAT	L-Cysteate:2-oxoglutarate aminotransferase		[c] : Lcyst + akg <==> 3spyr + glu-L	Cytosol	2.6.1.1	Reversible	N	2418755	2	
PYRtex	pyruvate transport via diffusion (extracellular to periplasm)		pyr[e] <==> pyr[p]	Extra-organism, Periplasm		Reversible	Y	1916071	5	
XANt2	xanthine transport in via proton symport		h[e] + xan[e] --> h[c] + xan[c]	Extra-organism, Cytosol		Irreversible	Y	218399	1,3,7	
ASNtex	L-asparagine transport via diffusion (extracellular to periplasm)		asn-L[e] <==> asn-L[p]	Extra-organism, Periplasm		Reversible	Y	1915095	5	
NACHEX12ly	beta-N-acetylhexosaminidase, lysosomal	beta-N-acetyl-D-hexosaminidase;, beta-D-hexosaminidase, beta-acetylaminodeoxyhexosidase;, N-acetylhexosaminidase;, hexosaminidase;, beta-N-acetylglucosaminidase;, hexosaminidase A;, N-acetyl-beta-hexosaminidase;, beta-D-N-acetylhexosaminidase;, beta-acetylhexosaminidinase;, beta-hexosaminidase;, N-acetyl-beta-D-hexosaminidase;	[l] : h2o + ksi_deg13 --> acgam + ksi_deg14	Lysosome	3.2.1.52	Irreversible	N	2709096	2	
ARBTNR3	aerobactin reductase		[c] : (2) arbtn-fe3 + rbflvrd --> (2) arbtn + (2) fe2 + (2) h + ribflv	Cytosol		Irreversible	N	2262698	5	
PI4P5K_SC	phosphatidylinositol-4-phosphate 5-kinase, yeast-specfic		[c] : atp + (0.01) ptd4ino_SC --> adp + h + (0.01) ptd145bp_SC	Cytosol	2.7.1.68	Irreversible	N	1531507	6	
NARK	nark		no2[c] --> no2[e]	Extra-organism, Cytosol		Irreversible	Y	1436595	10,3	
AABTN	4-acetamidobutyrate deacetylase		[c] : 4aabutn + h2o --> 4abut + ac	Cytosol	3.5.1.63	Irreversible	N	1529008	6	
NTD10pp	5'-nucleotidase (XMP)		[p] : h2o + xmp --> pi + xtsn	Periplasm	3.1.3.5	Irreversible	N	2324045	4,5	
TMHAS6	trehalose dimycolate synthesis		[c] : tdm3 + tdm4 + tre --> (2) h2o + tmha6	Cytosol		Irreversible	N	2979355	10	
HSD3A2r	3 alpha-hydroxysteroid dehydrogenase (type 3)		[r] : andrstandn + h + nadph <==> andrstrn + nadp	Endoplasmic Reticulum		Reversible	N	2976379	2	
ORNTArm	ornithine transaminase reversible (m)		[m] : akg + orn <==> glu-L + glu5sa	Mitochondria	2.6.1.13	Reversible	N	2207004	2	
PSSA161	Phosphatidylserine syntase (n-C16:1)	O-phosphatidyltransferase, PS synthase;, 2-diacyl-sn-glycerol:L-serine, (CDPdiglyceride):L-serine O-ph, CDP-diacylglycerol-serine O-ph, phosphatidylserine synthetase;, phosphatidylserine synthase;, CDP-diacylglycerol-L-serine O-, 2-diacyl-sn-glycerol, CDP-diglyceride-L-serine phosp, CDPdiglyceride-serine O-phosph, CDP-diglyceride:serine phospha, cytidine 5'-diphospho-1, cytidine diphosphoglyceride-se	[c] : cdpdhdec9eg + ser-L --> cmp + h + ps161	Cytosol	2.7.8.8	Irreversible	N	2618077	4,5	
THYMDt1	thymd transport		thymd[e] --> thymd[c]	Extra-organism, Cytosol		Irreversible	Y	1639600	2	
FLDR	flavodoxin reductase (NADPH)		[c] : fldox + h + nadph --> fldrd + nadp	Cytosol	1.18.1.2	Irreversible	N	2388688	5	
PGPP120	phosphatidylglycerol phosphate phosphatase (n-C14:0)	phosphatidylglycerol phosphate phosphatase;, PGP phosphatase, phosphatidylglycerophosphatase;, phosphatidylglycerol phosphatase;	[c] : h2o + pgp120 --> pg120 + pi	Cytosol	3.1.3.27	Irreversible	N	2619006	4,5	
DGAT	diacylglycerol acyltransferase		[c] : Rtotal3coa + dag_hs --> coa + tag_hs	Cytosol		Irreversible	N	2421636	2	
G3PAT160	glycerol-3-phosphate acyltransferase (C16:0)		[c] : glyc3p + palmACP --> 1hdecg3p + ACP	Cytosol	2.3.1.15	Irreversible	N	2617450	10,4,5	
PPAP	phosphatidic acid phosphatase	Phosphatidate phosphohydrolase, Lipid phosphate phosphohydrolase 1	[c] : h2o + pa_hs --> dag_hs + pi	Cytosol	3.1.3.4	Irreversible	N	2221052	2	
VLCSr	Very-long-chain-fatty-acid-CoA ligase	hFACVL1, Very-long-chain acyl-CoA synthetase, very-long-chain acyl-CoA synthetase, VLCS, VLACS	[r] : atp + coa + thcholstoic --> amp + cholcoar + ppi	Endoplasmic Reticulum	6.2.1.7	Irreversible	N	2389464	2	
HG2abcpp	Mercury (Hg+2) ABC transporter (periplasm)		atp[c] + h2o[c] + hg2[c] --> adp[c] + h[c] + hg2[p] + pi[c]	Cytosol, Periplasm		Irreversible	Y	2386409	5	
GCHOLAt	glycocholate transport via bicarbonate countertransport		gchola[e] + hco3[c] <==> gchola[c] + hco3[e]	Extra-organism, Cytosol		Reversible	Y	2324648	2	
AACPS2	acyl-[acyl-carrier-protein] synthetase  (n-C14:1)	acyl-ACP synthetase	[c] : ACP + atp + ttdcea --> amp + ppi + tdeACP	Cytosol	6.2.1.20	Irreversible	N	1512002	1,5	
MTHFDm	methylenetetrahydrofolate dehydrogenase (NADP), mitochondrial		[m] : mlthf + nadp <==> methf + nadph	Mitochondria	1.5.1.5	Reversible	N	1831723	2	
GALNACT4g	uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase II, Golgi	UDP-N-acetyl-D-galactosamine:D-glucuronyl-N-acetyl-1,3-beta-D-galactosaminylproteoglycan beta-1,4-N-acetylgalactosaminyltransferase, N-acetylgalactosaminyltransferase II, chondroitin synthase, uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase II, glucuronyl-N-acetylgalactosaminylproteoglycan beta-1,4-N-acetylgalactosaminyltransferase, glucuronosyl-N-acetylgalactosaminyl-proteoglycan4-beta-N-acetylgalactosaminyltransferase	[g] : cs_d_pre3 + uacgam --> cs_d_pre4 + h + udp	Golgi Apparatus	2.4.1.175	Irreversible	N	2300913	2	
M8MASNterg	m8masn transport from ER to Golgi apparatus		m8masn[r] --> m8masn[g]	Golgi Apparatus, Endoplasmic Reticulum		Irreversible	Y	1838257	2	
EAR141y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1)	NADH-specific enoyl-ACP reductase;, enoyl-[acyl-carrier-protein] reductase (NADH2), NADH-enoyl acyl carrier protein reductase;, enoyl-ACP reductase;, enoyl-[acyl carrier protein] reductase;	[c] : h + nadph + t3c7mrseACP --> nadp + tdeACP	Cytosol	1.3.1.10	Irreversible	N	2617325	4,5	
MCDm	Malonyl-CoA Decarboxylase, mitochondrial		[m] : h + malcoa --> accoa + co2	Mitochondria	4.1.1.9	Irreversible	N	1850958	2	
ENTCS [deleted 07/14/2004  09:51:27 AM]	enterochelin synthase		[c] : (3) 23dhba [deleted 07/14/2004  09:51:42 AM] + (3) seramp --> (6) amp + enter + (6) h	Cytosol		Irreversible	N	1528479	1	
FTHFLi	formate-tetrahydrofolate ligase		[c] : atp + for + thf --> 10fthf + adp + pi	Cytosol	6.3.4.3	Irreversible	N	1673258	3	
FAS100COA	fatty acyl-CoA synthase (n-C10:0CoA)		[c] : (3) h + malcoa + (2) nadph + occoa --> co2 + coa + dcacoa + h2o + (2) nadp	Cytosol	2.3.1.86	Irreversible	N	1453441	2,6	
4H2OGLTtp	4-hydroxy-2-oxoglutarate peroxisomal transport via diffusion		4h2oglt[c] <==> 4h2oglt[x]	Peroxisome, Cytosol		Reversible	Y	1447741	6	
HMPK3	hydroxymethylpyrimidine kinase (UTP)		[c] : 4ahmmp + utp --> 4ampm + h + udp	Cytosol	2.7.1.49	Irreversible	N	199811	10	
2AMACSULT	2-Aminoacrylate sulfotransferase	3'-Phosphoadenylylsulfate:2-Aminoacrylate sulfotransferase	[c] : 2amac + nadph + paps --> Lcyst + nadp + pap	Cytosol		Irreversible	N	2418678	2	
NTD9pp	5'-nucleotidase (GMP)		[p] : gmp + h2o --> gsn + pi	Periplasm	3.1.3.5	Irreversible	N	2324103	4,5	
CO2ter	CO2 endoplasmic reticular transport via diffusion		co2[c] <==> co2[r]	Endoplasmic Reticulum, Cytosol		Reversible	Y	1460941	2	
SADT2	Sulfate adenyltransferase	ATP-sulfurylase	[c] : atp + gtp + h2o + so4 --> aps + gdp + pi + ppi	Cytosol		Irreversible	N	1436233	1,10,3,5,7	
FRULYSDG	Fructoselysine phosphate deglycase		[c] : frulysp + h2o <==> g6p + lys-L	Cytosol		Reversible	N	2213285	5	
STS2r	Steryl-sulfatase	Arylsulfatase C, Steryl-sulfate sulfohydrolase, Steroid sulfatase, ASC	[r] : estrones + h2o --> estrone + h + so4	Endoplasmic Reticulum	3.1.6.2	Irreversible	N	2321039	2	
GUR1PPpp	Glucuronate 1-phosphate phosphatase (periplasm)		[p] : glcur1p + h2o --> glcur + pi	Periplasm		Irreversible	N	2387975	5	
PRO1x	proline oxidase (L-proline, NAD)		[c] : nad + pro-L --> 1pyr5c + (2) h + nadh	Cytosol	1.5.1.2	Irreversible	N	1531081	2	
ADCS	4-amino-4-deoxychorismate synthase		[c] : chor + gln-L --> 4adcho + glu-L	Cytosol		Irreversible	N	1531478	1,10,5,6,7	
NTP8	nucleoside-triphosphatase (dUTP)		[c] : dutp + h2o --> dudp + h + pi	Cytosol	3.6.1.15	Irreversible	N	243600	9	
DMHPTCRNCPT2	2,6 dimethylheptanoly CoA carnitine transferase		[m] : coa + dmhptcrn <==> crn + dmhptcoa	Mitochondria		Reversible	N	2795024	2	
HYD3pp	Hydrogenase (Demethylmenaquinone-8: 2 protons) (periplasm)		2dmmq8[c] + (2) h[c] + h2[c] --> 2dmmql8[c] + (2) h[p]	Cytosol, Periplasm	1.18.99.1	Irreversible	Y	1914473	5	
ME2m	malic enzyme (NADP), mitochondrial		[m] : mal-L + nadp --> co2 + nadph + pyr	Mitochondria	1.1.1.40	Irreversible	N	217900	2,6	
OCDCEAt	Octadecenoate (n-C18:1) transport in via uniport		ocdcea[e] --> ocdcea[c]	Extra-organism, Cytosol		Irreversible	Y	1457051	6	
PAPt	PAP reversible uniport		pap[e] <==> pap[c]	Extra-organism, Cytosol		Reversible	Y	1447020	6	
AGDC_r	N-acetylglucosamine-6-phosphate deacetylase (reversible)		[c] : acgam6p + h2o <==> ac + gam6p	Cytosol	3.5.1.25	Reversible	N	1788611	7	
PAFH	Platelet-activating factor acetylhydrolase	PAF acetylhydrolase, PAF-AH, PAFAH	[c] : h2o + paf_hs --> ac + ak2lgchol_hs + h	Cytosol	3.1.1.47	Irreversible	N	2321059	2	
FUCFUCGALACGLCGALGLUSIDEte	blood group intracellular transport		fucfucgalacglcgalgluside_hs[e] <==> fucfucgalacglcgalgluside_hs[c]	Extra-organism, Cytosol		Reversible	Y	2704504	2	
ARTPLM1m	R group to palmitate conversion		[m] : Rtotalcoa <==> pmtcoa	Mitochondria		Reversible	N	2421241	2	
FACOAL226	fatty-acid--CoA ligase		[c] : atp + coa + crvnc <==> amp + c226coa + ppi	Cytosol	6.2.1.3	Reversible	N	2391493	2	
FE3R2e	Fe(III) reduction (ascorbate)		[e] : ascb-L + (2) fe3 --> dhdascb + (2) fe2 + (2) h	Extra-organism		Irreversible	N	2372310	2	
SARCStex	Sarcosine transport (extracellular to cytosol)		sarcs[e] --> sarcs[c]	Extra-organism, Cytosol		Irreversible	Y	2419766	2	
ALATA_D	D-alanine transaminase		[c] : akg + ala-D <==> glu-D + pyr	Cytosol	2.6.1.21	Reversible	N	211709	7	
B_MANNASEly	beta-mannosidase, lysosomal	mannanase, beta-D-mannosidase, exo-beta-D-mannanase, beta-mannoside mannohydrolase, mannase	[l] : h2o + mn --> acgam + man	Lysosome	3.2.1.25	Irreversible	N	1884861	2	
TECA3S	glycerol teichoic acid synthesis (n=25, glucose sub)		[c] : acgam + (25) cdpglyc + uacmam + (25) udpg --> (25) cmp + gtca3 + (51) h + (26) udp	Cytosol		Irreversible	N	1788230	7	
ADK1	adenylate kinase		[c] : amp + atp <==> (2) adp	Cytosol	2.7.4.3	Reversible	N	144242	1,10,2,3,4,5,6,7,8,9	
